Incident ID,Article URL,Incident Description,Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Notes
88,http://montrealgazette.com/news/local-news/far-right-and-anti-racist-groups-prepare-to-face-off-at-lacolle-border-crossing,Police put buffer between duelling protests at Lacolle border crossing,2018-05-18,Quebec,Lacolle,,Criminal: Unknown,,,Southeast Asian,,,,,,,,,,,,
89,http://www.cbc.ca/news/canada/manitoba/winnipeg-rifles-todd-wilson-1.4662254,Winnipeg Rifles president resigns over P.K. Subban post,2018-05-14,Manitoba,Winnipeg,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Protective services: Police,Hate speech: Rally/protest,
90,https://www.ctvnews.ca/canada/no-criminal-charges-against-man-who-waved-nazi-flag-in-montreal-police-1.3931895,No criminal charges against man who waved Nazi flag in Montreal: police,2018-05-16,Quebec,Montreal,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,Religious discrimination: Anti-Semitism,,,
91,https://www.thestar.com/opinion/star-columnists/2018/05/15/new-canadian-anti-hate-network-looks-to-co-ordinate-efforts-against-far-right-extremism.html,New Canadian anti-hate network looks to co-ordinate efforts against far-right extremism,2018-05-16,Ontario,Ottawa,,Non-Criminal,,,Southeast Asian,,,,,,,,,Anti-2SLGBTQIA+,Transit,,
92,https://theeyeopener.com/2018/05/white-privilege-conference-held-on-ryerson-campus-incites-protests/,White Privilege Conference held on Ryerson campus incites protests,2018-05-14,Ontario,Toronto,,Non-Criminal,,,Southeast Asian,,,,,,,,Brunei,,,,
93,https://infotel.ca/newsitem/its-racist-its-graffiti-but-heres-why-the-enderby-incident-is-likely-not-a-crime/it52486,"It's racist, it's graffiti but here's why the Enderby incident is likely not a crime",2018-05-09,British Columbia,Enderby,,Non-Criminal,,,Indigenous,,,,,,,,,Religious discrimination: Islamophobia,Educational institute: K-12,,
94,http://www.cbc.ca/news/canada/montreal/racist-slurs-at-minor-hockey-tournament-in-quebec-city-symptom-of-widespread-problem-1.4687852,"Racist slurs at minor hockey tournament in Quebec City symptom of widespread problem
Social Sharing",2018-06-01,Quebec,Montreal,,Non-Criminal,,,Indigenous,,,,Métis,,,,,,Sports: Hockey,,
95,http://www.cbc.ca/news/canada/toronto/neo-nazis-anti-semitic-posters-1.4682529,School and city officials are condemning whoever plastered neo-Nazi posters throughout a park in the St. Clair West area.,2018-05-29,Ontario,Toronto,,Non-Criminal,"Female, Male",,South Asian,,,,,,,Nepal,,Religious discrimination: Anti-Semitism,Educational institute: Other,,
96,https://www.telesurtv.net/english/news/Canada-Racists-Spray-Paint-Fuck-You-Muslims-on-School--20180523-0001.html,Racists Spray-Paint 'F-ck You Muslims' on School,2018-05-23,Ontario,Toronto,,Criminal: Unknown,,,"South Asian, Southeast Asian",,,,,,,,,Religious discrimination: Islamophobia,Educational institute: Other,Hate speech: Letter/flyer,
97,http://www.cbc.ca/news/canada/montreal/officer-cadet-from-royal-military-college-saint-jean-to-be-expelled-for-defiling-qur-an-1.4678092,Officer-cadet from Royal Military College Saint-Jean to be expelled for defiling Qur'an,2018-05-28,Quebec,Montreal,,Non-Criminal,,,Latin American,,,,,,,,,Religious discrimination: Islamophobia,Educational institute: Post-secondary,Hate speech: Other,
98,https://www.nytimes.com/2018/05/09/sports/hockey/givani-smith-police-escort-ohl.htm,Police Escort Black Hockey Player to a Playoff Game After Threats,2018-05-09,Ontario,Toronto,,Non-Criminal,,,Black/African/Caribbean,Barbados,,,,,,,,,Sports: Hockey,Hate speech: Letter/flyer,
99,http://www.cbc.ca/news/canada/saskatoon/first-nations-student-subtle-racism-1.4656278,I feel like I don't deserve a job': Job-seeking First Nations student says she experiences subtle racism,2018-05-10,Saskatchewan,Saskatoon,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,,,
100,http://www.cbc.ca/news/canada/nova-scotia/hrm-racism-black-african-nova-scotian-1.4653542,African-Nova Scotians employed by the Halifax Regional Municipality say they deal with racial discrimination on the job and are consistently passed over for promotions.,2018-05-08,Nova Scotia,Halifax,,Non-Criminal,Female,,Black/African/Caribbean,Mauritania,,,,,,,,Religious discrimination: Anti-Semitism,,,
101,http://www.cbc.ca/news/politics/caesar-chavannes-bernier-identity-1.4681187,"Caesar-Chavannes, the Liberal MP for Whitby, believes ""the world revolves around"" her ""skin colour."" That was in response to Caesar-Chavannes chiding him in an interview with the Globe and Mail.",2018-05-21,Ontario,Ottawa,,Non-Criminal,Male,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Hinduism,Protective services: Police,Hate speech: Rally/protest,
102,http://www.lillooetnews.net/news/local-news/gold-trail-issues-statement-on-anti-racist-poster-campaign-1.23311427,Gold Trail issues statement on anti-racist poster campaign,2018-05-23,British Columbia,Lillooet,,Non-Criminal,,,Central Asian,,,,,,,,,Religious discrimination: Anti-Semitism,Healthcare/public health,,
103,https://globalnews.ca/news/4243508/calgary-indigenous-boy-braids-hair-school/?utm_source=%40globalnews&utm_medium=Twitter,Indigenous family devastated after son’s braid cut by schoolmate in Calgary,2018-05-30,Alberta,Calgary,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,Educational institute: Other,Hate speech: Letter/flyer,
104,https://www.thestar.com/opinion/star-columnists/2018/06/12/starbucks-racial-bias-training-shouldnt-be-one-size-fits-all.html,Starbucks racial bias training shouldn’t be one-size-fits-all,2018-06-12,Ontario,Ottawa,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,,Healthcare/public health,,
105,https://www.huffingtonpost.ca/2018/06/07/ontario-teacher-under-investigation-for-mocking-black-childs-hair-in-instagram-post_a_23453739/,Ontario Teacher Under Investigation For Mocking Black Child's Hair In Instagram Post,2018-06-07,Ontario,Peel Region,,Criminal: Charged,Female,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Islamophobia,Educational institute: Other,Other,
106,http://www.cbc.ca/news/canada/newfoundland-labrador/racism-dating-site-post-1.4691830,A woman in St. John's says a man she met on a dating app bombarded her with racist and sexually aggressive comments after she refused to answer his phone call.,2018-06-05,Newfoundland and Labrador,St. John's,,Criminal: Unknown,,,Black/African/Caribbean,,,,,,,,,,Protective services: Police,,
107,http://www.cbc.ca/news/canada/new-brunswick/racist-graffiti-downtown-fredericton-cafe-1.4689396,My heart sank': Downtown Fredericton cafe vandalized with racist graffiti,2018-06-02,New Brunswick,Fredericton,,Criminal: Charged,Female,,Black/African/Caribbean,United States Virgin Islands,,,,,,,,Religious discrimination: Anti-Semitism,Environmental racism,Vandalism,
108,https://www.cbc.ca/news/canada/montreal/barrette-indigenous-remarks-misinterpreted-1.4715907,Quebec Health Minister Gaétan Barrette says comments on 'drugged' medevac passengers were 'misinterpreted',2018-06-21,Quebec,,,Non-Criminal,Male,,Indigenous,,,,,,,,,,Protective services: Security,,
109,https://www.independent.co.uk/news/world/americas/canadian-mosque-arson-attack-alberta-muslim-community-islamic-society-of-edson-a8403941.html,Canadian mosque targeted in 'brazen' arson attack: 'How do we explain this to our children?',2018-06-18,Alberta,Edson,,Criminal: Unknown,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,
110,https://www.kamloopsmatters.com/local-news/education-is-the-only-answer-to-ignorance-band-chief-responds-to-racist-comments-found-on-vandalized-sign-near-kamloops-973042,Education is the only answer to ignorance': Band chief responds to racist comments found on vandalized sign near Kamloops,2018-07-01,British Columbia,Kamloops,,Criminal: Unknown,,,Indigenous,,,,First Nations,,,,,,,Vandalism,
111,https://www.cbc.ca/news/canada/montreal/moses-sumney-cancels-performance-1.4731552,Protesters gather in front of the theatre where the Jazz Festival show featuring slave music is on. Mose pulls performance due to band performing slave songs.,2018-07-03,Quebec,Montreal,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,,,,
112,https://montreal.ctvnews.ca/la-meute-and-opponents-face-off-in-canada-day-clash-police-arrest-two-1.3996654,"Nationalist group La Meute held a protest outside Place du Canada - more specifically, the Citizenship and Immigration offices. 2 Arrested - due to vandalism of La Meute bus.",2018-07-01,Quebec,Montreal,,Criminal: Unknown,Female,,Black/African/Caribbean,Cote d'Ivoire,,,,,,,,Xenophobia,Transit,Vandalism,
113,https://www.ctvnews.ca/canada/vancouver-restaurant-manager-fired-for-refusing-to-serve-man-in-maga-hat-1.3995778,"A Vancouver restaurant manager has been fired for refusing to serve a customer who was wearing a ""Make America Great Again"" hat for inciting hate.",2018-06-30,British Columbia,Vancouver,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,Religious discrimination: Islamophobia,Sports: Football,,
114,https://www.cbc.ca/news/canada/calgary/mcdonalds-racist-incident-1.4723378,Indigenous man kicked out of McDonald's after racist confrontation says he feels lucky to be alive,2018-06-26,Alberta,Red Deer,,Non-Criminal,Other/Unknown,,Indigenous,,,,First Nations,,,,,,,,
115,https://globalnews.ca/news/4299168/racially-charged-vancouver-bus-video/,Woman in racially-charged argument on Vancouver bus says video doesn’t tell whole story,2018-06-26,British Columbia,Vancouver,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,,,,Transit,,
116,https://www.cbc.ca/news/canada/toronto/comedian-actor-andrew-phung-toronto-police-racist-comment-1.4738483,Kim's Convenience actor Andrew Phung accuses Toronto police officer of racist comment,2018-07-08,Ontario,Toronto,,Criminal: Unknown,Female,,Black/African/Caribbean,Ethiopia,,,,,,,,Xenophobia,,,
117,https://www.cbc.ca/news/canada/british-columbia/racist-facebook-post-1.4732926,Man fired for racist post mocking Sikh senior who died after Canada Day parade,2018-07-04,British Columbia,Abbotsford,,Non-Criminal,,,Latin American,,,,,Venezuela,,,,Religious discrimination: Anti-Sikhism,,,
118,https://www.theglobeandmail.com/arts/theatre-and-performance/article-montreal-jazz-festival-cancels-apologizes-for-robert-lepage-and-betty/,"Montreal jazz festival cancels, apologizes for Robert Lepage SLĀV show after protests; SLAV appropriates and profits off of slave songs",2018-07-04,Quebec,Montreal,,Non-Criminal,,,Black/African/Caribbean,Montserrat,,,,,,,,,Sports: Football,Hate speech: Imagery,
119,http://www.thesudburystar.com/2018/07/15/sudbury-man-leads-anti-immigration-rally,Sudbury man leads anti-immigration rally,2018-07-14,Ontario,Sudbury,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",St. Maarten,,,First Nations,,,,,Xenophobia,Protective services: Other,Hate speech: Rally/protest,
120,https://vancouversun.com/news/local-news/surrey-mom-claims-racism-behind-accusation-of-sneaking-into-shared-swimming-pool,Surrey mom believes racism behind accusation of sneaking into shared swimming pool,2018-07-14,British Columbia,Surrey,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,,,Hate speech: Rally/protest,
121,http://www.cbc.ca/news/canada/toronto/hate-is-alive-here-wife-of-beaten-mississauga-man-speaks-out-after-attack-1.4751217,Hate is alive here': Wife of beaten Mississauga man speaks out after attack,2018-07-15,Ontario,Mississauga,,Criminal: Unknown,,,"South Asian, Southeast Asian",,,,,,,Bangladesh,Philippines,Religious discrimination: Islamophobia,,Harassment: Racial profiling,
122,https://lfpress.com/news/local-news/london-grocery-store-standoff-being-probed-as-possible-hate-crime,London grocery store standoff being probed as possible hate crime,2018-07-19,Ontario,London,,Criminal: Not charged,Other/Unknown,,East Asian,,,,,,,,,Xenophobia,,Hate speech: Imagery,
123,https://www.cbc.ca/news/canada/toronto/michael-tibollo-slammed-for-remarks-1.4752033,Community safety minister slammed for saying he wore bulletproof vest at Jane and Finch,2018-07-18,Ontario,,,Non-Criminal,,,Black/African/Caribbean,Nigeria,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",,Harassment: Racial profiling,
124,https://www.huffingtonpost.ca/2018/07/17/conservatives-yank-attack-ad-that-showed-black-migrant-entering-canada_a_23484161/,Conservatives Yank Attack Ad That Showed Black Migrant Entering Canada,2018-07-17,Ontario,Ottawa,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Xenophobia,Online: Social media,,
125,https://www.cbc.ca/news/canada/calgary/peter-simpson-racist-rant-1.4751751,"Racist ranter at Calgary grocery store sentenced to probation, anger management",2018-07-18,Alberta,Calgary,,Criminal: Unknown,,,Latin American,,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
126,https://www.cbc.ca/news/canada/calgary/todd-beasley-medicine-hat-united-conservative-party-1.4748603,Disqualified UCP candidate stands behind calling Islam an 'evil cult',2018-07-17,Alberta,Medicine Hat,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Letter/flyer,
127,https://www.theguardian.pe.ca/opinion/letter-to-the-editor/letter-flyer-attacks-immigration-226081/,Flyer attacks immigration from Immigration Watch Canada,2018-07-14,Prince Edward Island,Charlottetown,,Non-Criminal,Other/Unknown,,East Asian,,,China,,,,,,Xenophobia,Educational institute: K-12,Hate speech: Letter/flyer,
128,https://www.ctvnews.ca/canada/leaders-call-assault-on-first-nations-man-in-thunder-bay-ont-a-hate-crime-1.4012412,"Leaders call assault on First Nations man in Thunder Bay, Ont., a 'hate' crime",2018-07-13,Ontario,Thunder Bay,,Criminal: Unknown,,,Indigenous,,,,First Nations,,,,,,,,
129,https://www.cbc.ca/news/canada/montreal/indigenous-artists-robert-lepage-kanata-1.4747228,Indigenous artists criticize Quebec director Robert Lepage over new show for not having any Indigenous actors for a show about Indigenous peoples.,2018-07-14,Ontario,Ottawa,,Non-Criminal,Other/Unknown,,Indigenous,,,,,,,,,,Online: Social media,Hate speech: Rally/protest,
130,https://torontosun.com/entertainment/television/big-brother-controversies-racism-assault-homophobia-engulfs-canadas-no-1-show,"Racism, 'assault,' homophobia engulfs Canada's Big Brother",2018-07-12,Ontario,Ottawa,,Non-Criminal,"Female, Male",,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,,Harassment: Other,
131,https://www.huffingtonpost.ca/2018/07/29/hamilton-man-racism-possible-hate-crime_a_23491858/,Hamilton Man Investigated For Possible Hate Crime After Walmart Threats,2018-07-29,Ontario,Hamilton,,Criminal: Unknown,,,South Asian,,,,,,,India,,Xenophobia,Educational institute: K-12,Hate speech: Other,
132,https://www.cbc.ca/news/canada/nova-scotia/retired-firefighter-sues-halifax-fire-services-alleges-racism-1.4766239,"Retired firefighter sues Halifax fire services, alleging racial discrimination",2018-07-29,Nova Scotia,Halifax,,Non-Criminal,"Female, Male",,Black/African/Caribbean,Ethiopia,,,,,,,,,,,
133,https://globalnews.ca/news/4356718/racially-charged-confrontation-muslim-family-toronto-ferry-terminal-arrest/,Toronto man charged in ‘suspected hate-motivated’ confrontation with Muslim family,2018-07-28,Ontario,Toronto,,Criminal: Unknown,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
134,https://www.cbc.ca/news/canada/london/london-district-catholic-school-board-apologizes-for-racist-explicit-images-in-twitter-feed-1.4764961,"London District Catholic School Board apologizes for racist, explicit images in Twitter feed",2018-07-27,Ontario,London,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,Religious discrimination: Islamophobia,"Educational institute: Other, Online: Social media",Hate speech: Imagery,
135,https://www.cbc.ca/news/canada/montreal/petition-demands-public-consultation-on-systematic-racism-1.4764773,Montrealers demand public hearings on systemic racism,2018-07-27,Quebec,Montreal,,Non-Criminal,,,Southeast Asian,,,,,,,,,Xenophobia,,,
136,https://www.mississauga.com/news-story/8762319-anti-muslim-hate-crime-suspect-drops-out-of-mississauga-mayoral-race-now-running-in-ward-9/,"Anti-Muslim hate crime suspect drops out of Mississauga mayoral race, now running in Ward 9",2018-07-25,Ontario,Mississauga,,Non-Criminal,Male,,Indigenous,,,,Inuit,,,,,Religious discrimination: Islamophobia,,,
137,https://www.castanet.net/news/Vernon/232184/Another-act-of-racism,Racist sign posted reading “stop paying lazy Indians”,2018-07-24,British Columbia,Enderby,,Criminal: Unknown,Other/Unknown,,Indigenous,,,,Métis,,,,,,,Harassment: Racial profiling,
138,https://www.cbc.ca/news/canada/toronto/peel-council-integrity-commissioner-report-1.4755591,Peel council slammed over response to councillor's 'racist' texts,2018-07-20,Ontario,Peel Region,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Environmental racism,,
